ID, Denumire, Pret, Producator, SubstantaActiva
3, Aspirin, 12, Farmaceutica, Aspirin
9, Omeprazole, 45, Farmaceutica, Omeprazole
3, Aspirin, 12, Farmaceutica, Aspirin
1, Paracetamol, 10.5, Farmaceutica, Paracetamol
9, Omeprazole, 45, Farmaceutica, Omeprazole
8, Simvastatin, 40, Farmaceutica, Simvastatin
5, Ciprofloxacin, 25, Farmaceutica, Ciprofloxacin
8, Simvastatin, 40, Farmaceutica, Simvastatin
2, Ibuprofen, 15, Farmaceutica, Ibuprofen
1, Paracetamol, 10.5, Farmaceutica, Paracetamol
